Year,DMA,GT MVT
2019,Greensboro-High Point-Winston Salem NC,70.44
2019,Greenville-New Bern-Washington NC,50.5
2019,Greenville-Spartanburg SC-Asheville NC-Anderson SC,53.03
2019,Harlingen-Weslaco-Brownsville-McAllen TX,21.94
2019,Harrisburg-Lancaster-Lebanon-York PA,37.72
2019,Hartford & New Haven CT,71.44
2019,Honolulu HI,61.34
2019,Houston TX,63.84
2019,Huntsville-Decatur (Florence) AL,40.91
2019,Indianapolis IN,47.94
2019,Jackson MS,39.62
2019,Jacksonville FL,62.84
2019,Johnstown-Altoona PA,36.5
2019,Kansas City MO,71.84
2019,Knoxville TN,48.78
2019,La Crosse-Eau Claire WI,25.0
2019,Lafayette LA,47.5
2019,Lansing MI,48.78
2019,Las Vegas NV,82.28
2019,Lexington KY,40.62
2019,Lincoln & Hastings-Kearney NE,51.94
2019,Little Rock-Pine Bluff AR,48.69
2019,Los Angeles CA,71.78
2019,Louisville KY,60.88
2019,Lubbock TX,80.0
2019,Macon GA,45.0
2019,Madison WI,56.81
2019,Medford-Klamath Falls OR,74.5
2019,Memphis TN,67.19
2019,Miami-Ft. Lauderdale FL,64.44
2019,Milwaukee WI,53.53
